
2024/10/19 (14:21:49) | ===> btop++ v.1.3.2
2024/10/19 (14:21:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/19 (14:21:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/19 (14:33:04) | ===> btop++ v.1.3.2
2024/10/19 (14:33:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/19 (14:33:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/19 (14:34:12) | ===> btop++ v.1.3.2
2024/10/19 (14:34:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/19 (14:34:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/19 (21:05:57) | ===> btop++ v.1.3.2
2024/10/19 (21:05:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/19 (21:05:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported
